title,description,link
Fundrise,Investing in success: How Fundrise resolves 50% of its support volume with Intercom’s Fin.,https://www.intercom.com/customers/fundrise
Retention.com,From complexity to clarity: Retention.com’s journey to consolidated customer service.,https://www.intercom.com/customers/retention-com
Birdie Care,Soaring satisfaction: Birdie Care’s support automation success.,https://www.intercom.com/customers/birdie-care
Mebit,Doubling down on customer satisfaction: How Mebit transformed its support experience with Intercom.,https://www.intercom.com/customers/mebit
Bailey Nelson,A conversation with Bailey Nelson: Leveling up customer service with AI and automation.,https://www.intercom.com/customers/bailey-nelson
Fresh Technology,Fresh Technology's journey to first-class support.,https://www.intercom.com/customers/fresh-technology
Synthesia,"Scaling support: How Synthesia meets the needs of a fast-growing customer base with Intercom's AI-powered chatbot, Fin.",https://www.intercom.com/customers/synthesia
Hospitable,Hospitable uses Intercom’s AI-powered chatbot Fin to delight customers with lightning-fast support.,https://www.intercom.com/customers/hospitable
Wolt,Wolt manages over a million conversations weekly and keeps response time under 60 seconds with Intercom.,https://www.intercom.com/customers/wolt
trumpet,A conversation with trumpet: Leveraging omnichannel messaging to proactively support customers and drive product adoption.,https://www.intercom.com/customers/trumpet
Zip,Zip saved $500k in under 7 months and creates delightful experiences with Intercom.,https://www.intercom.com/customers/zip
Coda,Coda achieves over 95% CSAT and creates personalized experiences at scale with Intercom.,https://www.intercom.com/customers/coda
Webex Events,"Webex Events uses Intercom to provide stellar support, create world-class customer experiences, and drive more leads.",https://www.intercom.com/customers/webex-events
Fathom,A conversation with Fathom: Providing award-winning customer service.,https://www.intercom.com/customers/fathom
Inter,Inter efficiently manages 60k customer conversations daily and keeps FRT under a minute with Intercom.,https://www.intercom.com/customers/inter
Simply,Simply (formerly JoyTunes) reduced response times by 99% and creates joyful support experiences for millions of learners,https://www.intercom.com/customers/simply
Motosumo,Motosumo achieves 93% CSAT and doubled its trial-to-paid conversion rate with Intercom.,https://www.intercom.com/customers/motosumo
Pitch,Pitch achieves up to 100% CSAT using Intercom.,https://www.intercom.com/customers/pitch
Qonto,Qonto achieves 95% CSAT while growing its customer base at pace.,https://www.intercom.com/customers/qonto
Miss Group,Miss Group manages over a million customer conversations and keeps first-response time under 5 minutes with Intercom.,https://www.intercom.com/customers/miss-group
Living Spaces,"Living Spaces creates a unified customer experience across sales, support, and marketing.",https://www.intercom.com/customers/livingspaces
Nuuly,Nuuly achieves 96% CSAT and saves over 50 hours of team time per month with Intercom.,https://www.intercom.com/customers/nuuly
Ideris,Ideris uses Intercom to create stellar experiences throughout the customer journey.,https://www.intercom.com/customers/ideris
Otus,Otus drives 97% CSAT and resolves over 22% of customer queries automatically with Intercom.,https://www.intercom.com/customers/otus
Frame.io,Frame.io uses Intercom to provide personalized support to 2M customers.,https://www.intercom.com/customers/frame-io
Code for America,Code for America uses conversational support to show up with empathy for their clients.,https://www.intercom.com/customers/code-for-america
Appliances Online,Appliances Online unified its digital and in-store experiences and generated $1M in ARR with Intercom.,https://www.intercom.com/customers/appliances-online
Stuart,Stuart is using Intercom to engage and proactively support their clients – at just the right time.,https://www.intercom.com/customers/stuart
