title,additional_info
Investing in success: How Fundrise resolves 50% of its support volume with Intercom’s Fin,"We spoke with Luke Ruth, Chief Product Officer at online investment platform Fundrise, about the challenges of supporting a growing customer base without the right technology, and striking the right balance between personal, human support and AI-powered efficiency.
Fundrise is the largest direct-to-investor platform and allows individuals to access alternative assets like real estate, venture capital, and private credit. Fundrise has over 2 million users, ~$3 billion of equity capital under management, and generates over a million tax documents each year.
Having experienced limitations with, as Luke puts it, a “standard toolbox” for support, the Fundrise team set out on a journey to implement Intercom’s complete AI-powered platform – a decision that continues to pay dividends.
Let’s dive in. Can you tell us about your customer communications setup before Intercom, and what challenges you faced?
Historically, we’ve used the standard toolbox of email and phone support (no chat) to connect both prospective and existing investors directly with our Investor Relations team for any type of question. The questions we get range from being incredibly high-level, like “What is Fundrise?,” to the typical support requests around password resets, to complex questions around our investment strategy and property underwriting.
As you can imagine, solving some of those questions, like the more complex and nuanced ones, was time well spent. But solving some of the more frequently asked or basic questions, like 2FA issues or questions about account statements, was a pure time suck.
The core challenge was responding to all cases in a timely manner while carving out sufficient resources for our team to spend on providing thoughtful answers to the questions that warranted them. What did you need to solve those challenges?
We needed to be able to take the less complex cases off our Investor Relations team’s plate. If we didn’t reduce the load coming from those types of cases, we were going to be stuck choosing amongst a number of bad options, like:
Get back to people slower
Reduce the quality of responses
Hire to scale the team in an unsustainable fashion
We engaged Intercom specifically to use its AI Agent Fin as a way of handling those low-complexity cases. All of the answers to our frequently asked questions already existed in our site and app, but people just weren’t finding them. We saw Fin as a great opportunity to serve up our content in a way that was more easily accessible to our customers.
We conducted a proof of concept where we quickly trained Fin on our existing help center content, investor updates, and marketing site, and ran a series of tests in quick succession where we exposed Fin to a larger and larger audience. Being able to monitor the success metrics as we rolled Fin out to bigger and more important audiences gave us the confidence we needed to execute quickly. It also helped to ensure that the answers being provided were right and actually making for a better customer experience – not just taking the load off our team internally. What results have you seen since you implemented Intercom? Any hard metrics you can share?
The results have been extraordinary and exceeded our expectations by a considerable margin. Less than three months after launching Fin, it now handles more than 50% of our total support cases.
We typically see a considerable spike in interactions at the beginning of the year as a function of seasonality and taxes, and while we did see that same spike, Fin was able to field almost the entirety of the spike, yielding a nearly 50% reduction in cases year-over-year. Fin has had a huge influence on our hiring roadmap for the Investor Relations team, allowing us to be much more selective about how and when we grow the team, as opposed to having our hand forced by a high volume of cases. What do you think is the biggest benefit of Intercom?
First and foremost is the ability to handle low-complexity support cases. But beyond that… the ability for non-technical team members (non-engineers) to be able to manage and improve on the experience over time.
Since launching, our Product and Investor Relations teams have worked together to take the accuracy of Fin’s responses from 80% to north of 95% – with zero technical resources required. That’s an incredible unlock. What advice would you give to others considering using Intercom?
Use Fin."
From complexity to clarity: Retention.com’s journey to consolidated customer service,"In today’s world, customer satisfaction is make or break for any company. Customers expect next-level experiences when seeking support – and they’re not willing to wait around for anything less.
A company all too familiar with the importance of keeping customers happy (and around) is Retention.com, a platform with product offerings to help Shopify merchants recover lost shoppers and increase revenue, identify anonymous website visitors, and expand businesses’ email lists.
Having previously experienced challenges with a fragmented customer service tech stack, Retention.com wanted to consolidate its support tools and workflows into a single platform. The team already used Intercom for support ticketing – with great success – so it was the obvious choice to help them unify the rest of their support ecosystem. Identifying the problem-to-be-solved
Before using Intercom to power the entire customer service experience, Retention.com used separate tools to house its knowledge base and manage support tickets. This resulted in a disconnected – and at times, frustrating – experience for customers, so the need for a more streamlined, efficient, and user-friendly support solution became increasingly apparent.
“We’d been using Intercom for support ticketing for years, and with great success, but our support documentation was housed in a makeshift blog on our marketing website,” says Robb Clarke, Technical Operations Manager at Retention.com. “It was hard to navigate, and difficult to find the article that you wanted because of limited search functionality and no real ability to suggest related articles. Ultimately, it wasn’t the best experience for our customers, and if they were seeking support in the first place, having a bad experience while trying to solve a problem wasn’t going to help the situation.” The path to a unified support experience
Determined to tackle these challenges and create a more consistent customer experience, the team turned to Intercom. “It made sense for us to leverage Intercom’s Articles feature for our knowledge base since we were already using the platform for ticketing,” says Robb. “We knew this would enable our agents to easily reference articles in their replies to customers, as well as a ton of other conveniences from having everything in one place.”
However, with close to 200 blog posts already written on Retention’s makeshift blog hosted on WordPress, Robb and his team initially felt that this would be a big mountain to climb. Luckily, the team was able to use Intercom’s API to help them do this with ease. “By exporting our articles and using the API, we managed to efficiently migrate and categorize our content in Intercom – formatting and images included,” Robb says. “This beat manually porting almost 200 articles.” The power of AI and automation
Since moving support to a single, consolidated customer service platform, Retention.com has hit the ground running. “Honestly, we loved Intercom so much that we even got a second instance of it just for our B2B product, RB2B,” says Robb.
The team is focused on empowering customers to self-serve answers to their own questions, so they leaned on Intercom’s AI and automation to help them move the needle. “The biggest win for us is the ability to see how well our users are able to serve themselves when it comes to their support needs. In the last seven days, we’ve had 1,726 instances of users seeking support. Of those, 96.2% were resolved through self-serve support,” says Robb. “So they were able to resolve their queries using our knowledge base, workflows, or Intercom’s AI-powered chatbot, Fin.” With AI and automation tackling the bulk of Retention.com’s support volume, Robb explains that the team is freed up to focus on other areas of impact for the business. “Only 1.7% of our support instances in the last week were handled by a human from the start, and 2.1% were helped by a teammate after self-serve, for a total of 3.8% needing human involvement overall. Fin alone is resolving 34.7% of the conversations it’s involved in, so being able to drastically reduce the need for human interaction on our end allows our team to continue to improve the product, expand our documentation, and improve our support offering.” Help before it’s needed
In addition to the wins the team has experienced on the self-serve front, Robb points to Intercom’s proactive support functionality as being “a wonder, as well.” The team uses Workflows to trigger proactive messages as users interact with specific pages in Retention.com’s dashboard, enabling them to personalize customer communication, provide help before it’s needed, and create stand-out experiences.
“Intercom’s proactive support capabilities give us the ability to automate communications when users meet certain criteria, whether it’s of a customer care nature, like touching base if they haven’t installed our script after a certain amount of time, or sending an email to celebrate quick wins, like reaching a particular account milestone,” says Robb. “They’ve been really effective for us so far – of the customers who have interacted with our workflows, 38% have completed them. And if a customer has a more complex question or wants to talk to a human, the fact that we've already collected answers to a lot of fact-finding questions via the workflow greatly reduces the time it takes us to process a ticket."""
Soaring satisfaction: Birdie Care’s support automation success,"In the fast-paced world of customer support, where quick responses and resolutions are crucial, the arrival of AI has been nothing short of revolutionary. Among the champions leading the charge in AI-driven customer support, Birdie Care stands out.
In an age where 9% of the world's population is over the age of 65, the demand for efficient and compassionate elderly care has never been greater. Birdie Care, a holistic care platform providing tailored preventive care for older adults, recognized this early on.
With an aim of radically redefining how we age, Birdie partners with homecare agencies and equips them with state-of-the-art software. As Luke Cullimore, Revenue Operations Manager at Birdie and a key figure in their support operations, “Our mission is to radically improve the lives of older adults and ensure that we can all age safely in our own homes.”
Here's the inspiring journey of Birdie Care’s partnership with Intercom, when AI met empathetic customer support. The challenge: Meeting the needs of a modern care system
As Birdie expanded, the challenge of delivering consistent and high-quality support to its partners grew enormously. The support team – which had grown to include 12 support associates, several managers, and a head of support – still struggled to efficiently handle incoming requests and faced large training gaps within the team. “We've pretty much doubled the scope of our platform and product over the last 18 months,” Luke shares. “And with that came so many new complexities and queries.”
Having initially implemented Intercom five years ago, Birdie temporarily transitioned to Zendesk, hoping it would address the team’s enterprise-grade ticketing system needs. However, without a thorough request for proposal (RFP) process, and after a hasty migration, they faced implementation gaps and functional limitations.
The team found themselves at a crossroads. The solution: A return to innovation with Intercom
Realizing the gaps in its new solution, Birdie quickly turned its attention back to Intercom. As Luke candidly shares, “We had a brief period where we looked at Zendesk and actually started trying to implement it. Within a week, we pivoted back.” Birdie found unmatched value in Intercom, viewing it as their “full-stack support solution, for now and the future.” Luke adds, “The product innovation and vision Intercom shows is creating a new category in support.”
Intercom‘s full-stack solution offered Birdie a consolidated tool that addressed both customer communication and support.
The introduction of Fin, Intercom‘s AI chatbot, was a game-changer for the team. Fin became Birdie‘s primary solution for automated support and bot-based resolution, offering an immediate and effective solution to the rising tide of customer queries.
The Birdie team now confidently serves a rapidly growing customer base and is excited about Intercom’s continuous advancements in ticketing and support. They believe that these developments not only drive operational efficiency when it comes to managing simple queries, but also enable the team to tackle complex queries in a more effective and efficient way.
Since integrating Fin, Birdie has witnessed a remarkable improvement to its support efficiency. “Fin is now resolving 26% of our conversations, a significant improvement from our previous benchmarks,” says Luke. Key results
A 2pp increase in CSAT scores in August and September, sustaining a score of over 90% for more than a year.
26% Fin resolution rate, for conversations it was involved in.
A 20pp increase in auto-resolution rates within just two months.
These results weren‘t just numbers – they were a testament to a well-thought-out approach that prioritized user privacy while leveraging technology‘s power.
Birdie has since taken actions to revise its capacity forecast and business plan – and even reduced the expected headcount the team would need to meet increasing demand for the year ahead by 30% thanks to the efficiency gains of AI and automation. Additionally, the team saw huge improvements in support’s contribution to the company’s gross margin. Overcoming obstacles to success
As a dynamic healthtech company, diving into the realm of AI-powered support solutions presented both an opportunity and a challenge for Birdie. The team had to tread carefully around data privacy, especially with solutions hosted outside their primary region. Initial apprehensions rose around the risk of sharing personal data with Fin.
Luke vividly remembers the launch of Intercom‘s AI-powered chatbot, Fin. “When I first saw the releases about Fin, I was all over Slack, pinging my team – especially the data protection officer and CTO. There was this buzz about what Fin could possibly do,” he says.
But for Birdie, the path wasn‘t straightforward. Initial reactions were mixed. As one teammate put it at the time, “The reality is we can‘t be early adopters here because of the privacy risks.”
Concerns about user privacy were paramount given that customers could freely share personal data in the chat. “We had to be certain,” Luke says. “What if a user unknowingly shares their personal information? And would Fin genuinely be effective for our complex product?”
However, Luke saw an opportunity to assess the true risk and the genuine value of the tool. He invested time in manually running 500 historical customer queries through Fin. The results were revealing:
Personal data was rarely shared in chats.
OpenAI and Intercom‘s partnership ensured there was zero data retention on all Fin conversations.
The team was able to estimate the expected auto-resolution rate they would see with Fin.
With these insights, the Birdie team trialed Fin with 100 partners. Because of their focus on privacy, they always asked customers upfront whether they intended to share personal data. After the initial release in Q3, the team spent Q4 re-reviewing their privacy concerns, identifying their most low-risk queries, and increasing the scope of Fin – boosting auto-resolution rates to 22% as a result.
Based on this success, Birdie expanded its usage of Fin, achieving consistent, positive results as Luke explains: “We're seeing the same results with all of our partners now as well. And there was an uptick in CSAT ... we've maintained like 90% CSAT for the last 12 months.”
This rigorous and systematic approach ensured not only internal acceptance but also the protection of users‘ sensitive information. Embracing ‘human + AI’ approach to support
Tech is transformative, but the human touch is at the heart of support. Amidst the advancements in AI, Birdie‘s support team was eager to understand their evolving role.
The goal was clear: AI was there to augment, not replace.
The team was focused on ensuring AI‘s decisions resonated with the human ethos of care that Birdie stands for. They took a strategic approach to enhancing the support experience with AI and automation, focusing on a number of key areas:
Manual checks: Birdie still manually checks conversations where Fin interacted to gauge the accuracy of the responses. Using Fin conversations in the Inbox – a navigable and filterable list of all of Fin’s conversations – the team samples chats where Fin was unable to provide answers to understand gaps in their support content.
Feedback loop: Since hiring a dedicated support content manager a year ago, Birdie has doubled its help center‘s size and scope. Through Fin, the team can now instantly gauge the effectiveness of changes made to the help center. Luke emphasizes the valuable feedback loop Fin provides, saying, “The feedback loop for Fin is probably the most optimal feedback loop we've got around our help center.”
Content targeting: Luke highlights the team’s ability to tailor content shown to users based on certain customer attributes. This tailoring helps streamline customer support and enables Birdie to offer personalized help to specific users.
Future focus: Moving forward, besides refining their use of AI, Birdie plans to further delve into ticketing systems and to consolidate their tiered support model to ensure their growing customer base gets optimal support. Building for the future with Intercom
Birdie‘s ambitions are high. As the team continues to see momentum in their go-to-market motion, they have outlined a three-point plan:
Operationalize Fin to continuously improve resolution rates.
Holistically integrate Intercom Tickets across support workflows, tapping into new SLA functionalities.
Build premium service channels like phone and screen share, transforming support into a revenue-generating function.
Inspired by brands like Monzo, which is known for its exceptional support experience, the Birdie team envisions a future where their support isn't just efficient, but a true hallmark of excellence.
With Intercom‘s innovative solutions, Birdie has been able to enhance its support strategy and empower its team to embrace the future of tech. Birdie‘s journey with Intercom epitomizes how forward-thinking companies can harness technology to not just solve immediate challenges but also pave the way for future innovations. Through this partnership, Birdie stands poised to lead in an age where quality elderly care, backed by robust support, becomes the norm, rather than the exception."
Doubling down on customer satisfaction: How Mebit transformed its support experience with Intercom,"Mebit is a company that provides critical services like customer support, VIP hosting, “know your customer” (KYC), and compliance to the largest online casino, Stake.com.
The team’s journey with Intercom started back in 2017 when they decided to uplevel their support experience and make it faster and more efficient. Having grappled with a clunky, email-only communication setup, Milan Jovancevic, Mebit’s Director of Operations, says, “It was super messy. We needed something that would enable us to reach out to customers faster than email.”
The hunt for a better support solution led them to Intercom, which, according to Milan, stood out as the only viable choice for chat-based support at the time – and remains so even today. “I fell in love with the Intercom Inbox and how well it was organized,” says Milan. “The interface was super clean compared to our previous platform.”
But the big game-changer for Mebit was Intercom's Messenger. “When we started using chat to support our customers, our first response time dropped to under 10 seconds,” Milan highlights. These faster responses also resulted in quicker resolutions, with the median time to close a ticket plummeting from two hours to just seven minutes. “We’re now solving tickets in just a matter of minutes, compared to the hours or days it was taking us to solve them via email,” he says. However, it wasn’t just about speed. Intercom brought a level of organization that unlocked new opportunities for Mebit to delight both its support team and customers. Features like user attributes, auto-assignment, and team inboxes allowed Mebit to tailor the customer service experience and sort conversations more efficiently.
“Intercom made things easy for our customers, and easy for our team to help them,” says Milan, adding that Intercom’s Help Center Articles feature alone led to a 20% reduction in the number of tickets the team received. The results Mebit has seen since upgrading its support setup have been nothing short of extraordinary. “Our performance has jumped significantly since we started using Intercom. Previously, each of our agents could handle a couple of emails at a time. Now, they can handle 10 conversations simultaneously,” says Milan. “That’s a huge jump and means we can help much more customers – faster.”
Intercom is now an integral part of Mebit’s support tech stack. The team has linked the platform to their social media accounts, as well as other core tools such as Evaluagent and Jira, ensuring that all the systems they need to provide standout support are seamlessly connected. Reflecting on the journey with Intercom so far, Milan shares, “The biggest benefit of Intercom is that it has everything you need to create a great experience for your customers and your support team. Literally, anything you need, you can find in the platform. My advice to anyone considering Intercom is to just do it. You won’t regret it.”"
A conversation with Bailey Nelson: Leveling up customer service with AI and automation,"We spoke with Jackson Rostagno, Customer Service Manager for Australia and New Zealand at Bailey Nelson, about the team’s experience switching from their previous support tool to Intercom, and how Intercom’s focus on AI, automation, and conversational support has enabled them to solve the challenges they were facing and produce stellar results across their support. Please tell us a bit about your company and your role(s) there. 
Bailey Nelson is a fashion-forward optical retailer that was born in Bondi, Australia. We devote ourselves to bringing joy to eye care so our customers can continue seeing life in the best possible way. 
By removing exorbitant price tags, blah service, and compromised options, we’ve been able to bring the joy back to eye care and flip the tired “I HAVE TO” situation into a joyful “I GET TO” moment. 
I lead our Customer Service team in Australia and New Zealand. Our job is to respond to all incoming communications through a range of channels, and we also coordinate with our store teams and external suppliers to ensure a seamless customer experience.  Can you tell us about your customer service setup before Intercom, and what challenges you faced? 
Before we switched to Intercom, we were using another company for our customer communications, but we had a lot of ideas on how we wanted to level up our customer service. The way we were handling support just didn't match up with what our customers expected, especially given that we have a young customer base. Nowadays, people expect to use modern technology to get quick and effective help. We knew we needed to make improvements, especially with the emerging changes in automation and AI in today's world. 
You could say our main problem was usability, both for customers messaging us and for our team managing the conversations on the back end. We needed easy workflows and automations to make sure the right issues reached the right people quickly – and let's not forget gathering enough information from customers outside of our team's working hours. We wanted to solve problems with just one response, not go back and forth for details. 
My team used to be swamped with tickets all day, every day, leaving hardly any time for other tasks. The backlog of 100-200 unresolved tickets was overwhelming, and it definitely stressed out the team. Intercom allowed us to scale in a way that we were able to clear this backlog within a month. This provided us the time to complete other pressing tasks in a timely manner. What did you need to solve your customer service challenges? 
We needed a solution that could address our main issues, which included long response times, inefficient processes, and a lack of comprehensive, real-time reporting on metrics like customer satisfaction. So, we went on the hunt for a platform that could improve usability, speed up response times, and take advantage of automation and AI to enhance our overall experience through self-serve, proactive, and instant support.  Can you please describe how you have implemented and used Intercom to solve your customer service challenges? 
We installed the Intercom Messenger on our site, which quickly streamlined communication for customers, and the Inbox made it easy for our team to engage in conversations with them. 
We improved our processes using Intercom’s automation and AI capabilities, which helped us gather customer information faster and cut down on response times. Using efficient and customized workflows, we were able to customize our workspace for our agents to cut down on repetitive tasks throughout the day. The Articles feature allowed us to provide self-service support through our help center, ensuring that customers could find answers quickly, straight from the Messenger. We also connected our social media accounts to Intercom to handle those inquiries promptly. 
Overall, Intercom's approach to conversational support, automation, and AI has been integral in solving our customer service challenges. How did you find the migration process when switching from your previous support tool to Intercom? 
The migration process was simple and straightforward, with an amazing amount of resources and videos to help. We decided not to take all of our data across. The things we did take across – the help center articles and our conversation history to feed Custom Answers for Fin – both had dedicated API integrations to make this easy and quick. I also found that training the team to use Intercom was very straightforward. The platform is very intuitive and the Intercom Academy has a bunch of helpful walk-through videos to get the team familiar with the platform. All in all, a very smooth process.  What are the key elements service leaders should be aware of when conducting a migration from your previous provider to Intercom?
I think the main thing that teams initially need to get their heads around is the slightly different philosophy that Intercom has. Intercom has conversations and tickets, where conversations are for quick and seamless interactions, and tickets are for more complex cases where the time to solve might be a few days or the case might involve several different parties.
One other thing that should be considered is having a dedicated representative in the company that is responsible for keeping updated on the exciting changes that happen, and delivering this information to the wider team. Intercom is in a continual process of testing and releasing new and exciting features that allow you to be at the forefront of customer service and be able to integrate the latest technology advances into your workspace, allowing you to improve your customer interactions and processes to deliver the best possible service. What metrics improvements have you seen across support and marketing since you implemented Intercom? 
Since implementing Intercom, we've seen substantial improvements in our support metrics. Our first response time decreased from several days to under three hours – a 96% reduction. We also cut down the time it takes to resolve issues from three or four days to about four and a half hours, on average. Our customer satisfaction scores started out at around 75% when we first made the switch, and have now risen to between 90% and 95%, on average, each week. We also noticed more people using self-support articles and getting answers from our Custom Answers feature, solving about 11-12% of their issues on their own. These metrics demonstrate how effective Intercom has been in enhancing our support and increasing customer satisfaction. How does Intercom fit into the rest of your tech stack? What tools have you connected to Intercom? 
We've been able to connect Intercom to our Shopify store and are planning to integrate it into our in-house point of sale system. This will help us improve how we handle internal escalations and enhance the overall customer experience from both an in-store and online perspective. We have been able to also connect Intercom to our Slack Workspace to get quick, customized notifications in specific channels, based on the incoming communication. What do you think is the biggest benefit of Intercom? 
For us, the best thing about Intercom is how it seamlessly blends automation, AI, and a conversational approach to customer support. This combination allows us to respond to customers faster and more efficiently, while also empowering them to find solutions through self-serve support. The user-friendly interface is a big plus, too, as we can make changes and improvements without needing a coding expert. Plus, the fact that Intercom keeps innovating means we always have access to the latest tools to level up our support. How does using Intercom make you and your team feel? 
Using Intercom has really boosted our team's morale and effectiveness. Before, we were drowning in tickets and struggling with slow response times. Now, with Intercom's automation, we're managing conversations way better and providing quicker resolutions. It's reduced stress and increased team satisfaction. The platform's simplicity also lets us implement changes and improvements smoothly. All in all, Intercom has empowered us to be more proactive and confident in delivering top-notch customer support.  Are there any opportunities you’re excited to unlock with Intercom in the future? 
We're looking forward to exploring more possibilities with Intercom and utilizing features such as Fin and Tickets, as well as using the platform for other internal use cases. We also plan on integrating it with our in-store point of sale system for better customer service. There's a lot we can tap into in the near future! What would you say to customer service leaders considering making the switch to Intercom? 
There are probably many people who aren’t satisfied with their current solution and believe it could be improved. They might start with the intention of innovating but end up replicating old ways when they switch platforms. It's important to break away from that. 
Change can be tough. And if you have a big team using the platform, there's more pressure to make sure everyone is on board and comfortable with the switch. So make sure you think about managing expectations and how to get everyone aligned."
Fresh Technology's journey to first-class support,"We spoke with Jonathan Kilton, Director of Revenue Operations at Fresh Technology, LLC., about their transformative journey with Intercom. Get ready to dive into a story of improved efficiency, elevated customer support, and the tangible impact of transparency across the customer service organization. Can you tell us a bit about Fresh Technology and your role?
Certainly! My name is Jonathan Kilton, and I’m the Director of Revenue Operations at Fresh Technology, LLC. Fresh Technology is a SaaS provider specializing in restaurant technology solutions. We offer a suite of products designed to streamline various aspects of restaurant operations, including back-of-house, front-of-house, and out-of-house solutions. My role involves overseeing revenue operations and ensuring that our technology helps restaurants enhance their presence, reputation, and profitability. Our systems manage over $300 million in annual sales across 13 million guests. What was your customer communications setup like before implementing Intercom, and what challenges did you face?
Before Intercom, email was our primary support channel and our customer communications setup was being stretched. We were growing fast, expanding into new countries, and as a result faced several challenges when it came to maintaining our customer service experience.
International expansion meant we needed to provide 24/7 support.
We set up a new offshore support team to scale our efforts and needed a way to ensure standardized communication.
Our service level agreement (SLA) metrics weren’t where we wanted them to be. We struggled to scale the team as our inbound ticket volumes grew, and lacked a consistent escalation workflow, which led to inefficiencies. 
We needed to improve our documentation – both internally, to upgrade our standard operating procedures (SOPs), and externally, to ensure customers had access to all of the help documentation they needed.  What did you need to solve those challenges, and how has implementing Intercom helped?
We set out to tackle the issues we were facing by implementing a number of process improvements and leveraging features in Intercom that would enable us to increase efficiency and maximize our impact.  The key challenges we tackled were: 
Upskilling the support team: We focused on training our support agents and used Intercom’s reporting, along with our own QA process, to monitor performance and ensure our customers were getting a strong, consistent support experience. We leveraged features like Macros and Fin AI Assist to help us ensure that customer communication was standardized across our support and reduce the risk of errors. 
Expanding our support offering: We began offering chat support complemented with outbound phone capabilities, and extended our support availability to be 24/7, allowing us to serve our customers at international scale, whenever they need help. We currently use a third-party platform for phone support, but are testing Intercom Phone in beta right now – having both of these channels in Intercom would reduce the need for “tool switching,” which would save our team valuable time.   
Establishing new SLAs: Our customers’ support requirements had changed and so we adapted our SLAs to meet the new standards. Tracking these metrics daily allowed us to measure progress towards these goals.
Managing increased support volume: While we were redesigning our support operation, our business continued to grow at speed and our ticket volume almost doubled. This proved to be a significant challenge, so we leaned on Intercom features like Fin, their AI chatbot, and reporting capabilities to help us understand how many customers we could empower to self-serve and free up our team’s time, which enabled us to manage this volume spike without increasing headcount. We also reassessed our ticket escalation process and implemented a number of changes to ensure we were able to work through escalations more efficiently.   
Improving the customer – and teammate – experience: By looking at trends in customer conversations and reports in Intercom, we were able to identify high-priority areas that would benefit from new SOPs or help documentation. From there, we created the documentation needed to set both our team and our customers up for success. What results have you seen since you implemented Intercom? Any hard metrics you can share?
Since implementing Intercom, we've seen remarkable improvements across a number of our core metrics as we were able to completely shift how we were delivering support. This brought our first response time from 10-20 minutes with email-only support to under 45 seconds with live chat, our median handling time dropped to under 30 minutes, and our median time to close to just under an hour. 
These improvements have been a game-changer for us, and have also significantly enhanced our customers’ satisfaction. Now, our CSAT scores consistently hit the 3-5 range, showing our customers' delight with our support and increased ability to provide them with faster answers and resolutions to their issues.  How does Intercom fit into the rest of your tech stack? What tools have you connected to Intercom?
Intercom integrates seamlessly with the rest of the tools in our tech stack, which enhances our overall operational efficiency. We've connected several platforms to Intercom to create a comprehensive and well-integrated ecosystem, such as:
Zapier: Zapier helps us automate tasks and connect various apps and tools to Intercom, streamlining our workflows.
HubSpot: Intercom's integration with HubSpot enables us to manage customer relationships effectively and align our marketing and support efforts.
Calendly: Connecting Calendly with Intercom helps us seamlessly schedule support calls with customers so we can provide help when it best suits them.
Omnichannel: With Intercom's omnichannel capabilities, we can provide a consistent customer experience across various support channels.
These integrations have made Intercom the central hub for our customer communications, allowing us to seamlessly manage interactions, streamline processes, and provide a more cohesive and efficient support experience to our customers. What do you think is the biggest benefit of Intercom?
The most significant benefit of Intercom for us is undoubtedly the transparency it brings to our customer service. As the Director of Revenue Operations, I've found that you can't improve what you can't see, and in customer support, a single negative experience or review can have a substantial impact on a company's reputation.
Intercom's real-time visibility into conversations has been a game-changer. It has allowed us to monitor and manage customer interactions effectively, ensuring that we can address issues promptly and maintain a high standard of service. This level of transparency has not only improved our SLA metrics and efficiency but has also been instrumental in safeguarding our customers' satisfaction and our company's reputation. Are there any opportunities you’re excited to unlock with Intercom in the future?
Absolutely, there are a lot of exciting opportunities on the horizon with Intercom. One area we're looking forward to exploring further is Intercom's reporting functionality, like the ability to dig deeper into our data without leaving the Intercom app. As it becomes more advanced, we anticipate that it will be hugely helpful in streamlining our reporting processes and enabling us to quickly identify underlying issues or trends.
We're also keen to dig deeper into our AI-human support experience by splitting out reports based on whether a support agent or bot interacted with or resolved a customer query. A key element of this will be leveraging the ""bot excluded first response time"" metric, which will give us more accurate and real-time reporting on customer interactions and service quality across the board.
Intercom's commitment to innovation and the continuous development of their platform give us confidence that it will continue to play a pivotal role in our ability to deliver exceptional customer support. We're excited about what the future has in store. What advice would you give to others considering using Intercom?
My advice to others considering using Intercom is simple: you get what you put in. Intercom offers the ability to get a bird’s-eye view of your support operation, and also do deep analysis of what’s happening under the hood. The choice you make in terms of how extensively you use the platform will directly impact the quality and actionability of your data.
So, invest time and effort into optimizing your use of Intercom. Explore its capabilities, customize it to suit your needs, and continuously fine-tune your processes based on the insights it provides. The more you engage with Intercom and harness its potential, the greater the impact you can have across your support – and your business."
"Scaling support: How Synthesia meets the needs of a fast-growing customer base with Intercom's AI-powered chatbot, Fin","David Morgan, Revenue Operations Manager at Synthesia, knows a thing or two about rapid growth. As an AI video generation platform, Synthesia has been on the frontlines of the AI revolution that has been unfolding over the past year – and has gained a ton of new customers along the way.
""We were one of the first companies to build a video creation platform powered by generative AI, and, as a result, were also an early adopter of AI throughout our entire business,” says David. “Our goal is to radically change the process of content creation and unleash human creativity for good.""
Working with iconic brands, Synthesia’s customer base has high expectations when it comes to customer service. When David and his team decided to embrace Intercom and its AI-powered chatbot, Fin, they weren’t just looking for a quick fix to help them manage rising support volume. Their goal is to provide the fastest possible service to their customers, so they wanted a long-term solution that would enable them to streamline operations and elevate the entire support experience by providing personal and efficient support. Accelerating customer success
As the business was growing at lightning speed, Synthesia knew that customer service couldn’t take a back seat. With a comprehensive product offering that often prompts questions from customers looking to learn the ropes, the team went in search of a scalable, innovative customer service platform to help them manage their high support volume – which is what brought them to Intercom.
""We have several common topics that just have a huge volume. You know, we're seeing lots of people messaging about any one of these topics on a daily basis,"" says David. ""We're really trying to provide our customers with that perfect experience, and Intercom’s platform seamlessly combines the human support experience with powerful elements of AI, which suits our customers – and our business – down to the ground.” Enter, Fin
As trailblazers in the AI space, Synthesia understands the huge potential AI tools offer when it comes to making support more efficient. They decided to roll out Fin, Intercom’s AI-powered chatbot, to take advantage of the new opportunity. ""Intercom has been very useful for us,"" says David. ""On a monthly basis, we have 35,000 interactions coming to the support team. Without Intercom and Fin, there's no way we'd be able to maintain or monitor that level of traffic.""
David explains that Intercom is helping to bridge the gap between human and AI-driven support, which has been a game-changer for both Synthesia’s team and customers. “Now, we’re able to offer a great self-service experience to our customers and have our human agents jump in to help with more complex issues. It’s the best of both worlds,” he says. “We can also track our customers’ most common issues in Intercom and use those insights to train our support reps, which has been a big help and saved us a lot of time.” Strong inputs = stronger outputs
Integrating Fin was a no-brainer for an AI-first company like Synthesia, but it wasn’t without its hurdles. While the setup was quick, performance took a little more effort.
“When we first turned it on, it didn’t work as well as we’d hoped,” David reveals. The team quickly realized that the broken link was their help content. ""Fin only works as well as the content that you put into it,"" he adds. So, the team took a step back to reassess and fine-tune their content. Once that was done, the impact they saw with Fin was immediate. “We instantly saw a 7% reduction in human-supported requests,” says David. “Improving our content enabled Fin to automatically resolve more of our customers’ queries and freed up our support team’s capacity to focus on larger and more complex issues.”
Within six months, Fin had resolved over 6,000 conversations, saved the team over 1,300 hours and pushed self-serve support rates as high as 87%.
The Synthesia team learned valuable lessons from their initial challenges. ""It wasn't too difficult to implement it, we just had to ensure our content was ready,"" says David. Today, Fin is an essential part of Synthesia's customer service tech stack, aligning perfectly with the team’s vision for rapid but manageable growth. A blueprint for success
For customer support leaders who are tasked with balancing rapid growth with efficient, scalable support, there’s a clear message to be taken away from Synthesia’s experience: the right technology can make all the difference. “Intercom is an innovator in the support space. When it comes to product releases, we hear tickets, we hear Fin – we jump on it,” says David. “Without Intercom or the type of technology they provide, it'd be challenging to manage your business.”"
